entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2026-09-30,Breakfast,2007,"Oatmeal, cooked",,1,cup,1,158,3,0.5,0,115,27,4,1,6
2,2026-09-30,Breakfast,2008,Blueberries,,0.5,cup,1,42,0.2,0,0,1,11,2,7,0.5
3,2026-09-30,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
4,2026-09-30,Dinner,2011,Grilled Salmon,,1,fillet (5 oz),1,280,16,3.5,80,95,0,0,0,34
5,2026-09-30,Dinner,2012,"Brown Rice, cooked",,1,cup,1,216,1.8,0.4,0,10,45,4,0,5
6,2026-09-30,Dinner,2013,Steamed Broccoli,,1,cup,1,55,0.6,0,0,33,11,5,2,4
7,2026-10-01,Breakfast,2009,Scrambled Eggs,,2,eggs,1,182,13,4,370,175,2,0,1,12
8,2026-10-01,Breakfast,2010,Whole Wheat Toast,,1,slice,1,80,1,0.2,0,145,14,2,2,4
9,2026-10-01,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
10,2026-10-01,Dinner,2004,"Pork Chop, grilled",,1,chop (4 oz),1,210,12,4,70,75,0,0,0,26
11,2026-10-01,Snacks,2015,Apple,,1,medium,1,95,0.3,0,0,2,25,4,19,0.5
12,2026-10-02,Breakfast,2007,"Oatmeal, cooked",,1,cup,1,158,3,0.5,0,115,27,4,1,6
13,2026-10-02,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
14,2026-10-02,Lunch,2014,"Baked Chicken Breast, herbs",,1,breast (5 oz),1,240,6,1.5,110,110,0,0,0,44
15,2026-10-02,Lunch,2013,Steamed Broccoli,,1,cup,1,55,0.6,0,0,33,11,5,2,4
16,2026-10-02,Snacks,2016,Unsalted Almonds,,1,oz,1,164,14,1,0,0,6,4,1,6
17,2026-10-03,Breakfast,2009,Scrambled Eggs,,2,eggs,1,182,13,4,370,175,2,0,1,12
18,2026-10-03,Breakfast,2010,Whole Wheat Toast,,1,slice,1,80,1,0.2,0,145,14,2,2,4
19,2026-10-03,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
20,2026-10-03,Dinner,2019,"Chicken and Dumplings, homemade",,1.5,cups,1,320,12,3,65,480,34,2,4,22
21,2026-10-04,Breakfast,2007,"Oatmeal, cooked",,1,cup,1,158,3,0.5,0,115,27,4,1,6
22,2026-10-04,Breakfast,2008,Blueberries,,0.5,cup,1,42,0.2,0,0,1,11,2,7,0.5
23,2026-10-04,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
24,2026-10-04,Lunch,2015,Apple,,1,medium,1,95,0.3,0,0,2,25,4,19,0.5
25,2026-10-04,Lunch,2017,Whole Wheat Crackers,,6,crackers,1,120,4,0.5,0,180,20,3,2,3
26,2026-10-05,Breakfast,2009,Scrambled Eggs,,2,eggs,1,182,13,4,370,175,2,0,1,12
27,2026-10-05,Breakfast,2010,Whole Wheat Toast,,1,slice,1,80,1,0.2,0,145,14,2,2,4
28,2026-10-05,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
29,2026-10-05,Dinner,2014,"Baked Chicken Breast, herbs",,1,breast (5 oz),1,240,6,1.5,110,110,0,0,0,44
30,2026-10-05,Dinner,2012,"Brown Rice, cooked",,1,cup,1,216,1.8,0.4,0,10,45,4,0,5
31,2026-10-05,Dinner,2013,Steamed Broccoli,,1,cup,1,55,0.6,0,0,33,11,5,2,4
32,2026-10-06,Breakfast,2007,"Oatmeal, cooked",,1,cup,1,158,3,0.5,0,115,27,4,1,6
33,2026-10-06,Breakfast,2018,Black Coffee,,1,cup,1,2,0,0,0,5,0,0,0,0.3
34,2026-09-22,Dinner,2011,Grilled Salmon,,1,fillet (5 oz),1,280,16,3.5,80,95,0,0,0,34
35,2026-09-22,Dinner,2025,"White Rice, cooked",,1,cup,1,205,0.4,0.1,0,2,45,0.6,0,4
36,2026-09-25,Lunch,2014,"Baked Chicken Breast, herbs",,1,breast (5 oz),1,240,6,1.5,110,110,0,0,0,44
37,2026-09-25,Lunch,2029,"Green Beans, steamed",,1,cup,1,44,0.3,0,0,1,10,4,2,2
38,2026-09-27,Dinner,2019,"Chicken and Dumplings, homemade",,1.5,cups,1,320,12,3,65,480,34,2,4,22
39,2026-09-28,Breakfast,2007,"Oatmeal, cooked",,1,cup,1,158,3,0.5,0,115,27,4,1,6
